iter	Passed	Remaining
555	4716	3766
556	4727	3760
557	4736	3752
558	4740	3739
559	4742	3726
560	4751	3717
561	4752	3704
562	4764	3698
563	4766	3684
564	4775	3676
565	4777	3663
566	4779	3649
567	4780	3635
568	4786	3625
569	4789	3613
570	4791	3599
571	4793	3586
572	4794	3573
573	4804	3565
574	4806	3552
575	4808	3539
576	4809	3525
577	4814	3515
578	4816	3502
579	4818	3489
580	4820	3476
581	4832	3470
582	4834	3457
583	4846	3452
584	4850	3441
585	4862	3435
586	4863	3422
587	4866	3409
588	4877	3403
589	4881	3392
590	4889	3383
591	4890	3370
592	4892	3358
593	4894	3345
594	4895	3332
595	4897	3319
596	4899	3307
597	4901	3295
598	4903	3282
599	4904	3269
600	4905	3256
601	4907	3244
602	4910	3232
603	4912	3220
604	4914	3208
605	4921	3199
606	4924	3188
607	4926	3176
608	4927	3163
609	4929	3151
610	4938	3144
611	4940	3131
612	4941	3119
613	4951	3112
614	4952	3100
615	4954	3088
616	4956	3076
617	4957	3064
618	4967	3057
619	4969	3045
620	4970	3033
621	4972	3021
622	4980	3014
623	4982	3002
624	4983	2990
625	4985	2978
626	4995	2971
627	4997	2960
628	5000	2949
629	5007	2940
630	5008	2929
631	5010	2917
632	5012	2906
633	5014	2894
634	5025	2888
635	5037	2883
636	5048	2876
637	5053	2867
638	5062	2860
639	5075	2854
640	5077	2843
641	5078	2832
642	5080	2820
643	5090	2814
644	5096	2804
645	5109	2800
646	5112	2789
647	5114	2777
648	5115	2766
649	5123	2758
650	5125	2747
651	5128	2737
652	5129	2726
653	5131	2714
654	5132	2703
655	5135	2692
656	5141	2684
657	5148	2676
658	5159	2669
659	5161	2658
660	5164	2648
661	5173	2641
662	5176	2631
663	5178	2620
664	5185	2612
665	5187	2601
666	5192	2592
667	5202	2585
668	5216	2581
669	5232	2576
670	5234	2566
671	5241	2558
672	5242	2547
673	5244	2536
674	5247	2526
675	5253	2517
676	5254	2506
677	5258	2497
678	5266	2489
679	5268	2479
680	5272	2469
681	5274	2459
682	5281	2451
683	5283	2440
684	5284	2430
685	5286	2419
686	5295	2412
687	5307	2406
688	5318	2400
689	5320	2390
690	5322	2380
691	5325	2370
692	5327	2360
693	5334	2351
694	5337	2342
695	5340	2332
696	5348	2325
697	5350	2315
698	5353	2305
699	5355	2295
700	5361	2286
701	5363	2276
702	5366	2267
703	5368	2257
704	5373	2248
705	5376	2238
706	5379	2229
707	5380	2219
708	5381	2208
709	5386	2200
710	5389	2190
711	5400	2184
712	5402	2174
713	5404	2164
714	5412	2157
715	5415	2147
716	5417	2138
717	5424	2130
718	5426	2120
719	5429	2111
720	5430	2101
721	5431	2091
722	5437	2083
723	5439	2073
724	5441	2063
725	5443	2054
726	5445	2044
727	5446	2035
728	5448	2025
729	5449	2015
730	5450	2005
731	5452	1996
732	5460	1988
733	5461	1979
734	5465	1970
735	5466	1960
736	5471	1952
737	5473	1943
738	5475	1933
739	5477	1924
740	5483	1916
741	5486	1907
742	5489	1898
743	5490	1889
744	5498	1882
745	5500	1872
746	5501	1863
747	5503	1854
748	5513	1847
749	5525	1841
750	5529	1833
751	5531	1824
752	5533	1815
753	5535	1805
754	5542	1798
755	5545	1789
756	5548	1780
757	5549	1771
758	5562	1766
759	5563	1757
760	5575	1750
761	5579	1742
762	5581	1733
763	5583	1724
764	5594	1718
765	5597	1709
766	5599	1701
767	5602	1692
768	5603	1683
769	5607	1674
770	5608	1665
771	5617	1659
772	5620	1650
773	5622	1641
774	5630	1634
775	5631	1625
776	5633	1616
777	5634	1607
778	5642	1600
779	5647	1592
780	5649	1584
781	5653	1575
782	5655	1567
783	5656	1558
784	5661	1550
785	5666	1542
786	5668	1534
787	5670	1525
788	5684	1520
789	5695	1513
790	5697	1505
791	5715	1501
792	5723	1493
793	5724	1485
794	5726	1476
795	5729	1468
796	5730	1459
797	5732	1451
798	5734	1442
799	5751	1437
800	5752	1429
801	5755	1420
802	5767	1414
803	5771	1407
804	5782	1400
805	5784	1392
806	5786	1383
807	5787	1375
808	5789	1366
809	5790	1358
810	5807	1353
811	5811	1345
812	5814	1337
813	5823	1330
814	5825	1322
815	5828	1314
816	5836	1307
817	5839	1299
818	5840	1290
819	5846	1283
820	5848	1275
821	5849	1266
822	5863	1261
823	5865	1252
824	5875	1246
825	5877	1238
826	5886	1231
827	5887	1223
828	5889	1214
829	5896	1207
830	5899	1199
831	5900	1191
832	5902	1183
833	5904	1175
834	5907	1167
835	5908	1159
836	5910	1150
837	5912	1142
838	5916	1135
839	5918	1127
840	5919	1119
841	5921	1111
842	5930	1104
843	5932	1096
844	5934	1088
845	5937	1080
846	5939	1072
847	5940	1064
848	5943	1057
849	5945	1049
850	5946	1041
851	5962	1035
852	5975	1029
853	5977	1021
854	5986	1015
855	5987	1007
856	5991	999
857	5999	992
858	6017	987
859	6030	981
860	6065	979
861	6093	975
862	6096	967
863	6163	970
864	6196	967
865	6281	971
866	6297	966
867	6308	959
868	6310	951
869	6311	943
870	6320	936
871	6321	927
872	6323	919
873	6325	911
874	6332	904
875	6335	896
876	6336	888
877	6338	880
878	6341	872
879	6347	865
880	6378	861
881	6421	859
882	6439	853
883	6458	847
884	6460	839
885	6468	832
886	6470	824
887	6472	816
888	6473	808
889	6474	800
890	6481	792
891	6485	785
892	6530	782
893	6531	774
894	6581	772
895	6584	764
896	6587	756
897	6590	748
898	6604	741
899	6619	735
900	6629	728
901	6631	720
902	6638	713
903	6643	705
904	6648	697
905	6650	690
906	6656	682
907	6658	674
908	6662	666
909	6664	659
910	6668	651
911	6680	644
912	6683	636
913	6688	629
914	6689	621
915	6695	614
916	6742	610
917	6812	608
918	6866	605
919	6947	604
920	6966	597
921	6979	590
922	6996	583
923	7013	576
924	7056	572
925	7105	567
926	7155	563
927	7206	559
928	7209	550
929	7239	544
930	7253	537
931	7256	529
932	7268	521
933	7272	513
934	7275	505
935	7341	501
936	7354	494
937	7418	490
938	7483	486
939	7487	477
940	7520	471
941	7585	467
942	7587	458
943	7604	451
944	7670	446
945	7680	438
946	7685	430
947	7686	421
948	7687	413
949	7700	405
950	7702	396
951	7710	388
952	7721	380
953	7773	374
954	7805	367
955	7835	360
956	7883	354
957	7900	346
958	7907	338
959	7919	329
960	7921	321
961	8007	316
962	8023	308
963	8035	300
964	8049	291
965	8050	283
966	8063	275
967	8077	267
968	8081	258
969	8095	250
970	8097	241
971	8113	233
972	8126	225
973	8128	216
974	8145	208
975	8149	200
976	8168	192
977	8182	184
978	8196	175
979	8198	167
980	8202	158
981	8220	150
982	8240	142
983	8241	134
984	8259	125
985	8374	118
986	8387	110
987	8389	101
988	8390	93
989	8391	84
990	8396	76
991	8398	67
992	8401	59
993	8505	51
994	8507	42
995	8509	34
996	8511	25
997	8513	17
998	8515	8
999	8521	0
