iter	RMSE
460	3.900513786
461	3.898865612
462	3.894163838
463	3.893418625
464	3.891852216
465	3.888109224
466	3.886452154
467	3.886288301
468	3.882927896
469	3.878203886
470	3.874879095
471	3.870946229
472	3.866940213
473	3.863803367
474	3.861763957
475	3.859165958
476	3.856850413
477	3.851893971
478	3.851814262
479	3.851050666
480	3.850590634
481	3.848168028
482	3.844803666
483	3.84416429
484	3.841191018
485	3.83831474
486	3.836215056
487	3.836063827
488	3.834304386
489	3.832395506
490	3.829243283
491	3.827407421
492	3.823527947
493	3.822110783
494	3.821309605
495	3.820628886
496	3.819289609
497	3.816530317
498	3.814722633
499	3.810739879
500	3.809336436
501	3.806169159
502	3.802659823
503	3.798911624
504	3.79567557
505	3.794371369
506	3.79103731
507	3.787770598
508	3.784937826
509	3.782165179
510	3.782036831
511	3.779783593
512	3.777676006
513	3.776628204
514	3.77346943
515	3.771756323
516	3.768877107
517	3.765548291
518	3.764066278
519	3.760361504
520	3.758103148
521	3.754165133
522	3.750377746
523	3.74786815
524	3.745151663
525	3.74500757
526	3.741099402
527	3.738502994
528	3.735719049
529	3.733695567
530	3.73119887
531	3.729331536
532	3.725756363
533	3.724911233
534	3.720859447
535	3.717397914
536	3.713522276
537	3.709742952
538	3.705146316
539	3.703487365
540	3.701218538
541	3.698072653
542	3.696103174
543	3.69284433
544	3.692052487
545	3.69061251
546	3.687973292
547	3.686645602
548	3.683525975
549	3.683420103
550	3.681808687
551	3.680265387
552	3.676992192
553	3.675342663
554	3.673797161
555	3.670983271
556	3.668901181
557	3.668062434
558	3.665431048
559	3.662833686
560	3.658235275
561	3.656466132
562	3.653689872
563	3.65234972
564	3.64953352
565	3.64711034
566	3.64596825
567	3.645885955
568	3.645339128
569	3.642522306
570	3.641635944
571	3.639189551
572	3.634594108
573	3.631371804
574	3.63104001
575	3.629958483
576	3.626997301
577	3.62441239
578	3.620208194
579	3.618164045
580	3.615732969
581	3.61275621
582	3.61163776
583	3.61151605
584	3.609309521
585	3.606645087
586	3.604630778
587	3.601501163
588	3.598801651
589	3.597805252
590	3.595622875
591	3.59229743
592	3.592218213
593	3.588773241
594	3.587951617
595	3.587583928
596	3.585566576
597	3.585491626
598	3.583714065
599	3.583420413
600	3.580813436
601	3.577078892
602	3.573740702
603	3.571999009
604	3.568530946
605	3.565517887
606	3.564269937
607	3.561612576
608	3.560392871
609	3.559091242
610	3.556901517
611	3.552592996
612	3.550137388
613	3.545320365
614	3.542924278
615	3.539882092
616	3.539769425
617	3.538012495
618	3.536353822
619	3.536268558
620	3.535340548
621	3.53325003
622	3.532386399
623	3.530580654
624	3.528833443
625	3.52699889
626	3.523126102
627	3.520509375
628	3.519938856
629	3.518116651
630	3.516938374
631	3.515992773
632	3.514874761
633	3.511997253
634	3.5097811
635	3.507606758
636	3.505357169
637	3.503759451
638	3.501275875
639	3.497367984
640	3.496585704
641	3.495194704
642	3.49303579
643	3.491901633
644	3.489702739
645	3.486300055
646	3.483553674
647	3.482762178
648	3.481487498
649	3.480087753
650	3.479786444
651	3.47647559
652	3.473460639
653	3.469325903
654	3.465351653
655	3.46170067
656	3.459911622
657	3.458465608
658	3.455075918
659	3.452333777
660	3.451074148
661	3.448176567
662	3.445366569
663	3.443610477
664	3.440604037
665	3.438949126
666	3.436875136
667	3.435620358
668	3.433591857
669	3.432216491
670	3.431560004
671	3.429227633
672	3.4258959
673	3.423803127
674	3.42137493
675	3.416447988
676	3.41456449
677	3.411435956
678	3.408431698
679	3.405673618
680	3.404382231
681	3.400721411
682	3.397896268
683	3.396517389
684	3.394906998
685	3.391726196
686	3.388574042
687	3.387266631
688	3.38673732
689	3.38528653
690	3.38312967
691	3.379605148
692	3.377314938
693	3.373187347
694	3.37123274
695	3.368639407
696	3.365749158
697	3.363733976
698	3.360300591
699	3.35699503
700	3.356443472
701	3.355298158
702	3.352097627
703	3.349230305
704	3.346234009
705	3.3461608
706	3.342933586
707	3.341655913
708	3.340052469
709	3.338877404
710	3.337752934
711	3.336141666
712	3.33566623
713	3.335339393
714	3.333993256
715	3.331149908
716	3.33005451
717	3.328843845
718	3.3262081
719	3.326149415
720	3.323429737
721	3.321627256
722	3.321135986
723	3.320754533
724	3.31829166
725	3.314503147
726	3.311457811
727	3.310426009
728	3.310265695
729	3.308992673
730	3.306530826
731	3.303562797
732	3.300892234
733	3.299647922
734	3.297509222
735	3.297062762
736	3.296327138
737	3.296048376
738	3.294159212
739	3.293411566
740	3.292213484
741	3.289892052
742	3.288940154
743	3.287995887
744	3.287816534
745	3.283278581
746	3.281704856
747	3.280284805
748	3.278391617
749	3.277612485
750	3.27445109
751	3.2741823
752	3.272687945
753	3.271804344
754	3.268674547
755	3.267223318
756	3.266281636
757	3.263504438
758	3.260660736
759	3.260454985
760	3.259163099
761	3.258439017
762	3.256930232
763	3.251777909
764	3.249110274
765	3.246362487
766	3.2455948
767	3.241103877
768	3.240218455
769	3.238835356
770	3.237404362
771	3.235927891
772	3.233152554
773	3.230053634
774	3.2267405
775	3.224716288
776	3.222441823
777	3.221751168
778	3.217204585
779	3.214722808
780	3.212546253
781	3.209959909
782	3.208079476
783	3.207883292
784	3.20442048
785	3.203237228
786	3.201910798
787	3.200140855
788	3.197974877
789	3.195905135
790	3.194058585
791	3.192700358
792	3.192650099
793	3.190816151
794	3.190515492
795	3.187951182
796	3.185438862
797	3.182490441
798	3.180527388
799	3.180002413
800	3.177504147
801	3.176543773
802	3.176172702
803	3.175331131
804	3.172443028
805	3.169906523
806	3.167385245
807	3.167278031
808	3.167180297
809	3.165161913
810	3.162331406
811	3.160039493
812	3.157800005
813	3.155827361
814	3.154291832
815	3.153082539
816	3.152881514
817	3.151178762
818	3.150545281
819	3.148002896
820	3.144112886
821	3.141745199
822	3.140215877
823	3.138778233
824	3.135223022
825	3.133813292
826	3.132938729
827	3.131556741
828	3.129836476
829	3.129206697
830	3.126726871
831	3.124433511
832	3.123942659
833	3.123443132
834	3.122058839
835	3.119417962
836	3.119354098
837	3.117450721
838	3.11630586
839	3.115365531
840	3.113866264
841	3.111147942
842	3.109761496
843	3.109722564
844	3.107632454
845	3.107072387
846	3.105980532
847	3.105136992
848	3.104419384
849	3.102056477
850	3.100591541
851	3.10043311
852	3.098902601
853	3.096877109
854	3.096030698
855	3.094515295
856	3.094051302
857	3.090899831
858	3.087468222
859	3.08555071
860	3.083700537
861	3.081470774
862	3.077863063
863	3.076722593
864	3.074929609
865	3.072425707
866	3.072306538
867	3.069528259
868	3.06785219
869	3.067716793
870	3.067019555
871	3.064305075
872	3.062063197
873	3.060482526
874	3.057446685
875	3.056267208
876	3.055199524
877	3.054311933
878	3.053062622
879	3.050328256
880	3.048313507
881	3.046945457
882	3.044947872
883	3.04397788
884	3.041946442
885	3.038761567
886	3.038590679
887	3.038053023
888	3.037007774
889	3.035181022
890	3.033570006
891	3.032802634
892	3.030463776
893	3.029423387
894	3.027866919
895	3.025716724
896	3.02346613
897	3.021354034
898	3.020153056
899	3.017285334
900	3.015679439
901	3.013944846
902	3.012966076
903	3.011426674
904	3.009408158
905	3.007813942
906	3.006112639
907	3.0033049
908	3.002210263
909	3.00107503
910	2.999658194
911	2.99887055
912	2.997347501
913	2.99484949
914	2.993537422
915	2.992166591
916	2.988862613
917	2.98685414
918	2.986642922
919	2.985985674
920	2.983759443
921	2.982959436
922	2.980356158
923	2.978800775
924	2.978053733
925	2.977545987
926	2.975062713
927	2.972318744
928	2.971606125
929	2.970698872
930	2.96821378
931	2.967079647
932	2.966420337
933	2.964535936
934	2.963765974
935	2.961449584
936	2.958911129
937	2.956567485
938	2.954791988
939	2.95416633
940	2.952761279
941	2.951458785
942	2.949603515
943	2.948562707
944	2.948508282
945	2.947187184
946	2.945559786
947	2.945349798
948	2.944438444
949	2.943305163
950	2.943077468
951	2.9415291
952	2.940280853
953	2.938518114
954	2.93814436
955	2.935658433
956	2.934850536
957	2.932767459
958	2.931900551
959	2.931566092
960	2.929121933
961	2.925372539
962	2.924056284
963	2.921834415
964	2.920006318
965	2.918810833
966	2.917836734
967	2.916344191
968	2.916156846
969	2.913964802
970	2.912897496
971	2.912460808
972	2.911945199
973	2.91091601
974	2.9091619
975	2.90863873
976	2.906472505
977	2.905449172
978	2.904825962
979	2.90347583
980	2.900790188
981	2.899004566
982	2.896425841
983	2.896334257
984	2.894910721
985	2.891086923
986	2.889288841
987	2.888184331
988	2.887806151
989	2.885632359
990	2.885558651
991	2.884123758
992	2.883218682
993	2.882523875
994	2.882469648
995	2.87921565
996	2.876654087
997	2.875999758
998	2.87371166
999	2.873568449
